"모은 돈","saved money"
"세계","world"
"시골","rural area, countryside"
"중요하다","to be quiet"
"조용하다","to be important"
"글","writing"
"문학","literature"
"기회","chance, opportunity"
"항공사","airline"
"평일","weekdays"
"높은 충에 올라가다","to go up to a high floor"
"오래되다","to be old/aged"
"무료하다","to be bored"
"무료","free; complimentary"
"소중한 물건","precious things"
"밥솥","rice cooker"
"디카","digital camera"
"밥을 하다","to cook rice/food"
"밥을 해 먹다","to eat self-made food"
"믹서","mixer"
"밖에서 사 먹는 일","time that I eat food that I ordered out"
"남쪽","south"
"북쪽","north"
"남서쪽","southwest"
"서쪽","west"
"동쪽","east"
"캐나다는 세계에서 두 번째로 큰 나라이에요.","Canada is the second largest country in the world."
"해마다","annually"
"A과 B 다른 것이 많습니다.","A and B are very different things."
"서울에는 밤늦게까지 문을 여는 가게들이 많아요.","In Seoul, there are many stores that are open until late at night."
"가족들을 못 본 지 6개월 됐어요.","It's been 6 months since I've seen my family."
"자연","nature"
"고래","whale"
"북극곰","polar bear"
"대회","competition"
"열리다","to take place"
"확인하다","to confirm, verify; to check (e.g., comprehension)"
"나눠 먹다","to eat together"
"60번째 생일","60th birthday"
"설날","Korean New Year's day"
"흰떡","white rice cakes"
"붉은 떡","red rice cakes"
"나쁜 일이 생기다","for bad things to happen"
"나누다","to share"
"잔치","feast, party"
"제사를 지내다","to perform ancestral rites"
"미역국","seaweed soup"
"A에게 설명을 주었어요.","(They) gave A an explanation."
"A에게 B를 대접하다","to treat A to B"
"풍습","custom"
"국수","noodle (native; used for Korean noodle dishes)"
"먹이다","to feed others (e.g., at a special event like wedding)"
"계속","continuously"
"부끄러워하다","to be shy"
"가늘게 썰다","the slice/cut thinly"
"간장","soy sauce"
"옛날에 먹기 시작하다","to start eating a long time ago"
"간장으로 만든 음식","foods made with soy sauce"
"끓이다","to bring to a boil"
"프라이팬","frying pan"
"볶은 재료","fried ingredients"
"당근","carrots"
"다진 파","minced/finely chopped green onions"
"다진 마늘","minced garlic"
"깨","sesame seeds"
"후춧가루","ground pepper"
"궁중","royal"
"궁중떡볶이","royal tteokbokki"
"끓다","to boil, simmer"
"데치다","to parboil"
"빼다","to take out, to drain"
"바르다","to apply (e.g., pepper and sesame seeds)"
"양념장","sauce"
"익다","to be cooked"
"표고버섯","Shiitake mushroom"
"찬물로 씻다","to rinse in cold water (e.g., after parboiling)"
"음식과 음식을 먹는 방법은 나라마다 아주 다양합니다.","Food and methods of eating food are very different for every country."
"그릇","bowl"
"상 위에 놓다","to put on the table"
"밥을 젓가락으로 먹기 때문에 밥 그릇을 들고 먹어야 합니다.","Because (they) eat rice with chopsticks, (they) have to hold the bowl and eat."
"쉽게 상하다","to spoil easily"
"튀김","fried"
"볶음","stir-fried"
"국물","broth"
"뜨겁다","to be hot (temperature)"
"말리다","to dry"
"좋은 물건을 싸게 살 수 있기 때문입니다.","Because (you) can buy good things cheaply."
"돌아다니다","to wander around"
"들다","to hold"
"수산 시장","fish market"
"해산물","seafood"
"새우","shrimp"
"낙지","small octopus"
"싱싱하다","to be fresh"
"움직이다","to move"
"단골 가게","store that you always visit"
"마음에 드는 것","thing that you really like/love"
"밤 10시가 넘다","to be after 10pm"
"제일 싸게 파는 사이트에 들다","to visit the site that sells for the very cheapest"
